Algorithm,Accuracy,F1_Avg,F1_hardstyle,F1_Underground Rap,F1_Emo,F1_Dark Trap,F1_Hiphop,F1_techhouse,F1_Rap,F1_trance,F1_techno,F1_Trap Metal,F1_psytrance,F1_trap,F1_RnB,F1_dnb
RandomForest-best,0.6344860710854947,0.6497857550930021,0.796,0.4554455445544554,0.6784363177805801,0.4972129319955407,0.4288905435591958,0.8603015075376884,0.4393939393939394,0.812199036918138,0.8309012875536481,0.3263888888888889,0.8979238754325259,0.6992031872509961,0.4133064516129032,0.9613970588235294
ExtrTrees-best,0.6354466858789626,0.6480175440405178,0.8366141732283465,0.4611197511664074,0.6925133689839573,0.4935344827586207,0.4297646165527715,0.8542914171656687,0.4146341463414634,0.8207547169811321,0.8282476024411508,0.273525721455458,0.9064124783362218,0.7085828343313374,0.3898305084745762,0.9624197983501376
ExtrTrees-best2,0.6346061479346782,0.6473908580048324,0.8341511285574091,0.4579439252336448,0.6890080428954424,0.4935483870967742,0.4307458143074581,0.8554336989032901,0.4162162162162163,0.8211189913317573,0.8265039232781168,0.271356783919598,0.9046793760831888,0.7065868263473054,0.3919915700737619,0.9641873278236914
RandomForest-default,0.6288424591738713,0.6372777799998139,0.7936507936507936,0.4777408637873754,0.7017543859649122,0.4864588656106285,0.391653290529695,0.8568507157464212,0.3953871499176277,0.8237205523964257,0.8341880341880342,0.2426900584795321,0.8971477960242005,0.6855345911949685,0.3721488595438175,0.9629629629629628
SVM,0.6072286263208453,0.6301067507584222,0.4748371817643577,0.6189320388349514,0.3926940639269406,0.8131868131868132,0.3731271145480909,0.4100895036615134,0.8871794871794871,0.8270412642669008,0.7785365853658536,0.7494646680942185,0.7957166392092258,0.4034416826003824,0.924953095684803,0.3722943722943723
ExtraTrees-default,0.6126320845341018,0.6162310272413906,0.7645914396887159,0.4821428571428571,0.694938440492476,0.4643962848297213,0.3676470588235294,0.8456104944500505,0.3764320785597381,0.7849117174959872,0.8240343347639486,0.2143950995405819,0.8789699570815451,0.6405919661733616,0.3607748184019371,0.927797833935018
QDA,0.598439231176839,0.6067281278017675,0.7651273885350318,0.4746930218628332,0.5620647275706677,0.4649164677804296,0.3870967741935484,0.8270806382061233,0.377341251713111,0.7304890738813735,0.8096322811584771,0.3016688061617458,0.8593130779392338,0.6158038147138964,0.3698007689619014,0.9491656965463716
QDA,0.598439231176839,0.6067281278017675,0.7651273885350318,0.4746930218628332,0.5620647275706677,0.4649164677804296,0.3870967741935484,0.8270806382061234,0.377341251713111,0.7304890738813735,0.8096322811584771,0.3016688061617458,0.8593130779392338,0.6158038147138963,0.3698007689619014,0.9491656965463716
DecisionTrees-best,0.5961815561959655,0.5941868553304099,0.41273450824332003,0.5454545454545454,0.24353120243531204,0.8099009900990098,0.5019823116803903,0.3917355371900826,0.8659611992945326,0.755877034358047,0.7868852459016393,0.6636050516647531,0.769114307342922,0.26140567200986436,0.9097605893186004,0.40066777963272115
GuassianNB-best,0.5742074927953891,0.5780911307903503,0.736732570239334,0.4883632201449828,0.4714893617021276,0.4562462281231141,0.4139499620924942,0.8318584070796461,0.3815165876777251,0.6492537313432836,0.781055900621118,0.2668977469670711,0.7900641025641025,0.5853107344632769,0.3081180811808118,0.932419196865818
GuassianNB-default,0.5742074927953891,0.5780911307903503,0.736732570239334,0.4883632201449828,0.4714893617021276,0.4562462281231141,0.4139499620924942,0.8318584070796461,0.3815165876777251,0.6492537313432836,0.781055900621118,0.2668977469670711,0.7900641025641025,0.5853107344632769,0.3081180811808118,0.932419196865818
LogisticRegression-best,0.5617195004803074,0.5507451202529255,0.5705996131528046,0.523157208088715,0.4450402144772118,0.4502955400322407,0.3960558751027115,0.7646454265159301,0.37660485021398,0.6205733558178752,0.7928692699490663,0.3089700996677741,0.8311258278145696,0.523109243697479,0.33,0.7773851590106007
DecisionTrees-best,0.5162103746397695,0.538760836108515,0.3567307692307693,0.5028248587570622,0.19332566168009205,0.7673716012084593,0.2979608822305451,0.28885630498533726,0.8344947735191638,0.7098445595854922,0.7357926221335993,0.6370217166494311,0.7286184210526315,0.261066969353008,0.9171483622350675,0.3115942028985508
DecisionTrees-default,0.5162103746397695,0.538760836108515,0.3567307692307693,0.5028248587570622,0.19332566168009205,0.7673716012084593,0.2979608822305451,0.28885630498533726,0.8344947735191638,0.7098445595854922,0.7357926221335993,0.6370217166494311,0.7286184210526315,0.261066969353008,0.9171483622350675,0.3115942028985508
KNN,0.5459894332372719,0.5302428488274068,0.3991179713340684,0.5449804432855281,0.13714285714285712,0.7278106508875739,0.48660436137071644,0.30823117338003503,0.7858861267040899,0.7356715141146281,0.6257459505541346,0.5928338762214984,0.6396023198011599,0.2629482071713148,0.8473351400180669,0.3294892915980231
LDA,0.5074447646493756,0.49643007140113277,0.40163934426229503,0.4337349397590362,0.22767075306479861,0.658772874058127,0.4917920656634747,0.39279869067103107,0.7173738991192955,0.7210994341147938,0.47691143073429215,0.5619146722164411,0.5189873417721519,0.3047158403869407,0.6698935140367861,0.3727161997563947
LogisticRegression-default,0.5135686839577329,0.4947881205410462,0.512589928057554,0.5221799746514575,0.4174624829467939,0.4200626959247649,0.3740522325189553,0.7331975560081467,0.3849372384937238,0.562610229276896,0.6842975206611571,0.1886051080550098,0.6787479406919275,0.4702194357366772,0.2975420439844761,0.6805293005671077
