Algorithm,Accuracy,F1_Avg,F1_Dark Trap,F1_Emo,F1_Trap Metal,F1_techhouse,F1_Underground Rap,F1_Hiphop,F1_psytrance,F1_techno,F1_hardstyle,F1_trap,F1_trance,F1_RnB,F1_dnb,F1_Rap
VotingHard,0.6505763688760807,0.6650667882839467,0.5235718247365502,0.6716791979949875,0.3692307692307692,0.8517412935323383,0.4858969537420082,0.4576523031203566,0.8977853492333902,0.8323090430201932,0.8396501457725947,0.7758620689655172,0.8263374485596708,0.3865168539325842,0.9546313799621928,0.438070404172099
Stacking,0.6539385206532181,0.6590808144508139,0.5,0.6685082872928177,0.3165905631659056,0.8398357289527721,0.5346598202824134,0.4462564862861379,0.8951890034364262,0.8166383701188454,0.8450148075024679,0.7698658410732715,0.8262987012987014,0.3614163614163614,0.9620721554116558,0.4447852760736196
MLP-best,0.653939,0.659028,0.491882,0.65328,0.350299,0.841159,0.535264,0.459556,0.899317,0.82646,0.821138,0.771637,0.819218,0.37469,0.946984,0.435511
ExtrTrees-best2,0.638328530259366,0.6552520153840016,0.4698660714285714,0.6998616874135546,0.3291770573566084,0.8425275827482448,0.4502657555049354,0.4,0.9101796407185628,0.8302872062663186,0.8519579751671442,0.7787971457696228,0.8309859154929576,0.4185110663983903,0.961111111111111,0.4
ExtrTrees-best,0.6374879923150817,0.6541258231981079,0.4696040156162855,0.6980609418282548,0.3266331658291457,0.8416833667334669,0.4504367641473604,0.4000000000000001,0.9111111111111112,0.826923076923077,0.8511450381679388,0.7784552845528455,0.83125,0.4084934277047522,0.960222016651249,0.4037433155080214
RandomForest-best,0.6359269932756965,0.6539059743607197,0.4855687606112054,0.6692708333333333,0.3655172413793103,0.83987915407855,0.4397614314115308,0.4053627760252366,0.9075342465753424,0.8265746333045729,0.8402710551790901,0.7787971457696228,0.8292295472597299,0.3956043956043956,0.9543336439888164,0.4169787765293383
RandomForest-default,0.633045148895293,0.6449702844258172,0.4768349817803228,0.6895565092989986,0.2705035971223021,0.846311475409836,0.4708196721311475,0.3772003352891869,0.9073756432246998,0.8321917808219179,0.844574780058651,0.7782426778242678,0.8248587570621468,0.3640606767794632,0.9551401869158878,0.3919129082426127
MLP-default,0.6412103746397695,0.6444279768709285,0.5021786492374729,0.6382393397524072,0.3410852713178294,0.8008171603677222,0.5297297297297298,0.4020530367835757,0.8836820083682009,0.8252344416027281,0.8,0.758985200845666,0.7814569536423841,0.4132596685082873,0.9291628334866604,0.4161073825503356
SVM,0.6072286263208453,0.6301067507584222,0.4748371817643577,0.6189320388349514,0.3926940639269406,0.8131868131868132,0.3731271145480909,0.4100895036615134,0.8871794871794871,0.8270412642669008,0.7785365853658536,0.7494646680942185,0.7957166392092258,0.4034416826003824,0.924953095684803,0.3722943722943723
ExtraTrees-default,0.61947646493756,0.626704322814982,0.4548774126238915,0.6798307475317348,0.2465331278890601,0.8199389623601221,0.4780487804878049,0.3493975903614458,0.8833619210977702,0.8268733850129197,0.8098859315589354,0.7700312174817897,0.781919111816019,0.3553421368547419,0.9387755102040816,0.3790446841294298
DecisionTrees-best,0.5961815561959655,0.5941868553304099,0.41273450824332003,0.5454545454545454,0.24353120243531204,0.8099009900990098,0.5019823116803903,0.3917355371900826,0.8659611992945326,0.755877034358047,0.7868852459016393,0.6636050516647531,0.769114307342922,0.26140567200986436,0.9097605893186004,0.40066777963272115
LogisticRegression-best,0.5658021133525456,0.5544643903135076,0.4331348132106118,0.3925729442970822,0.3414634146341463,0.7303822937625755,0.5205302295505981,0.3943661971830985,0.8298407376362112,0.7901023890784984,0.5874524714828897,0.6618556701030929,0.6577287066246056,0.3016905071521456,0.7591763652641003,0.3622047244094488
GuassianNB-default,0.5481508165225745,0.5491267118460856,0.3356940509915014,0.3947560087399854,0.2324786324786324,0.7798466593647317,0.4635603345280765,0.3990267639902676,0.786833855799373,0.7360890302066773,0.7325800376647834,0.6080760095011877,0.6593406593406594,0.3117593436645397,0.9262135922330096,0.3215189873417721
GuassianNB-best,0.5481508165225745,0.5490503581447365,0.3359319631467045,0.3950437317784256,0.2324786324786324,0.7776560788608982,0.4635603345280765,0.3990267639902676,0.786833855799373,0.7355043685464654,0.7337723424270931,0.6080760095011877,0.6582875098193244,0.3117593436645397,0.92725509214355,0.3215189873417721
LogisticRegression-default,0.5565561959654178,0.5413317216468024,0.4274973147153598,0.3903095558546434,0.2682926829268293,0.7246963562753036,0.5234521575984991,0.3837312113174181,0.7912087912087912,0.7576006573541495,0.5805843543826579,0.6602768903088392,0.6244995996797438,0.3043478260869565,0.7578947368421052,0.3842519685039369
DecisionTrees-default,0.5162103746397695,0.538760836108515,0.3567307692307693,0.5028248587570622,0.19332566168009205,0.7673716012084593,0.2979608822305451,0.28885630498533726,0.8344947735191638,0.7098445595854922,0.7357926221335993,0.6370217166494311,0.7286184210526315,0.261066969353008,0.9171483622350675,0.3115942028985508
QDA,0.5145292987512008,0.5319374836164562,0.3646973012399708,0.4616613418530351,0.2319327731092436,0.7785365853658537,0.0677466863033873,0.2986247544204322,0.8407843137254903,0.7744165946413137,0.7578947368421052,0.6134663341645886,0.7005559968228753,0.3204798628963153,0.9377431906614786,0.2985842985842985
KNN,0.5459894332372719,0.5302428488274068,0.3991179713340684,0.5449804432855281,0.13714285714285712,0.7278106508875739,0.48660436137071644,0.30823117338003503,0.7858861267040899,0.7356715141146281,0.6257459505541346,0.5928338762214984,0.6396023198011599,0.2629482071713148,0.8473351400180669,0.3294892915980231
